Website,Phone Name,Price,Link
Amazon,"DR VAKU® TROSVOLT 53W Car Charger Fast Charging Dual Port Type C PD QC PPS 3.0 USB Car Mobile Laptop Adapter for iPhone 16/15/14/13 etc., Samsung All Series, Tablets, & Android Smartphones- Black",398,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NDMxMjU3OTYwNjE2MTMyOjE3MzM0MDk0NzI6c3BfYnRmOjMwMDI2OTIwNjYyMjIzMjo6MDo6&url=%2FDR-TROSVOLT-53W-Charging-Smartphones%2Fdp%2FB0D9YGRJJS%2Fref%3Dsr_1_21_sspa%3Fdib%3DeyJ2IjoiMSJ9.dm62FKRWy1Pri6xMnce9yvT_Zm-Sg_inEEUr6BxvR3fde1q0nLD-iXkLdjydvPsMhHaotvHuHB0mGDbeog78wqfh0iLaaWyCCoZ_R2gawRiUi669of62rC4q5gpuKNnQbZBucxlQEPNQzBKmHCAV4J1HngGvP6mwHH9tWi2-xLxiV_QQO7ZQ3iAdODdiwG2OKKSwVJ90CDxFREVdYAtenFjPbX5d6JrOlg0dKM5nEDY.PSXugWpqgmmQ-lGBaK-0hLWi8zuXaTKgquJ_z7TciPM%26dib_tag%3Dse%26keywords%3Diphone%2B14%26qid%3D1733409472%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
Amazon,URBN 20W iPhone Charger | BIS Certified | Type C PD Adapter for Apple iPhone 14/14 Pro Max/13/13Pro/13mini/12/12pro/12pro max/11/11pro/iPad/ & Android Mobiles (White),499,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NDMxMjU3OTYwNjE2MTMyOjE3MzM0MDk0NzI6c3BfYnRmOjMwMDE3NTIxNTkzNzkzMjo6MDo6&url=%2FURBN-Charger-Certified-Adapter-Android%2Fdp%2FB0B4K4YN4V%2Fref%3Dsr_1_22_sspa%3Fdib%3DeyJ2IjoiMSJ9.dm62FKRWy1Pri6xMnce9yvT_Zm-Sg_inEEUr6BxvR3fde1q0nLD-iXkLdjydvPsMhHaotvHuHB0mGDbeog78wqfh0iLaaWyCCoZ_R2gawRiUi669of62rC4q5gpuKNnQbZBucxlQEPNQzBKmHCAV4J1HngGvP6mwHH9tWi2-xLxiV_QQO7ZQ3iAdODdiwG2OKKSwVJ90CDxFREVdYAtenFjPbX5d6JrOlg0dKM5nEDY.PSXugWpqgmmQ-lGBaK-0hLWi8zuXaTKgquJ_z7TciPM%26dib_tag%3Dse%26keywords%3Diphone%2B14%26qid%3D1733409472%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
Amazon,Apple iPhone 15 (128 GB) - Blue,"64,900",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2ODUwNjYxNzY5OTczOTYxOjE3MzM0MDk0ODM6c3BfYXRmOjMwMDA1NDM0NTk0NzQzMjo6MDo6&url=%2FApple-iPhone-15-128-GB%2Fdp%2FB0CHX2F5QT%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.8-aKrERwPzdGyJWfWOa56O2yDcolF6kjNajUNykMKg-4nrBHk0q7-6xivRGXMniwq10FVdNEIaueU8_mm6BNAcEJxFNluIQneY__A6MK-7OmIzDiP7_adEAJUfWd8awloQFiBwUPbI-ZeU-uwbRmE2J4HJPTUIMqGFCItK4UXaXGyvrR9liHRrkJE5Y5NE09bTPJtWqnra4-QOpnKTz70KTPXI4aaHvkYM3stpCS1yg.BK2kAi4rfdG-CXRSuBPs1zRVT5WnPl8lXCZlpS-z-vs%26dib_tag%3Dse%26keywords%3Diphone%2B15%26qid%3D1733409483%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Amazon,"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Ultramarine","77,400",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2ODUwNjYxNzY5OTczOTYxOjE3MzM0MDk0ODM6c3BfYXRmOjMwMDMzNDI1MjYyMjkzMjo6MDo6&url=%2FiPhone-16-128-GB-Ultramarine%2Fdp%2FB0DGJ7TGDR%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.8-aKrERwPzdGyJWfWOa56O2yDcolF6kjNajUNykMKg-4nrBHk0q7-6xivRGXMniwq10FVdNEIaueU8_mm6BNAcEJxFNluIQneY__A6MK-7OmIzDiP7_adEAJUfWd8awloQFiBwUPbI-ZeU-uwbRmE2J4HJPTUIMqGFCItK4UXaXGyvrR9liHRrkJE5Y5NE09bTPJtWqnra4-QOpnKTz70KTPXI4aaHvkYM3stpCS1yg.BK2kAi4rfdG-CXRSuBPs1zRVT5WnPl8lXCZlpS-z-vs%26dib_tag%3Dse%26keywords%3Diphone%2B15%26qid%3D1733409483%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Amazon,Apple iPhone 15 (128 GB) - Black,"64,900",https://www.amazon.in/Apple-iPhone-15-128-GB/dp/B0CHX1W1XY/ref=sr_1_3?dib=eyJ2IjoiMSJ9.8-aKrERwPzdGyJWfWOa56O2yDcolF6kjNajUNykMKg-4nrBHk0q7-6xivRGXMniwq10FVdNEIaueU8_mm6BNAcEJxFNluIQneY__A6MK-7OmIzDiP7_adEAJUfWd8awloQFiBwUPbI-ZeU-uwbRmE2J4HJPTUIMqGFCItK4UXaXGyvrR9liHRrkJE5Y5NE09bTPJtWqnra4-QOpnKTz70KTPXI4aaHvkYM3stpCS1yg.BK2kAi4rfdG-CXRSuBPs1zRVT5WnPl8lXCZlpS-z-vs&dib_tag=se&keywords=iphone+15&qid=1733409483&sr=8-3
Amazon,Apple iPhone 15 (128 GB) - Blue,"64,900",https://www.amazon.in/Apple-iPhone-15-128-GB/dp/B0CHX2F5QT/ref=sr_1_4?dib=eyJ2IjoiMSJ9.8-aKrERwPzdGyJWfWOa56O2yDcolF6kjNajUNykMKg-4nrBHk0q7-6xivRGXMniwq10FVdNEIaueU8_mm6BNAcEJxFNluIQneY__A6MK-7OmIzDiP7_adEAJUfWd8awloQFiBwUPbI-ZeU-uwbRmE2J4HJPTUIMqGFCItK4UXaXGyvrR9liHRrkJE5Y5NE09bTPJtWqnra4-QOpnKTz70KTPXI4aaHvkYM3stpCS1yg.BK2kAi4rfdG-CXRSuBPs1zRVT5WnPl8lXCZlpS-z-vs&dib_tag=se&keywords=iphone+15&qid=1733409483&sr=8-4
Amazon,Apple iPhone 15 (128 GB) - Green,"63,900",https://www.amazon.in/Apple-iPhone-15-128-GB/dp/B0CHX6NQMD/ref=sr_1_5?dib=eyJ2IjoiMSJ9.8-aKrERwPzdGyJWfWOa56O2yDcolF6kjNajUNykMKg-4nrBHk0q7-6xivRGXMniwq10FVdNEIaueU8_mm6BNAcEJxFNluIQneY__A6MK-7OmIzDiP7_adEAJUfWd8awloQFiBwUPbI-ZeU-uwbRmE2J4HJPTUIMqGFCItK4UXaXGyvrR9liHRrkJE5Y5NE09bTPJtWqnra4-QOpnKTz70KTPXI4aaHvkYM3stpCS1yg.BK2kAi4rfdG-CXRSuBPs1zRVT5WnPl8lXCZlpS-z-vs&dib_tag=se&keywords=iphone+15&qid=1733409483&sr=8-5
Amazon,Apple iPhone 15 (128 GB) - Pink,"64,900",https://www.amazon.in/Apple-iPhone-15-128-GB/dp/B0CHX3TW6X/ref=sr_1_6?dib=eyJ2IjoiMSJ9.8-aKrERwPzdGyJWfWOa56O2yDcolF6kjNajUNykMKg-4nrBHk0q7-6xivRGXMniwq10FVdNEIaueU8_mm6BNAcEJxFNluIQneY__A6MK-7OmIzDiP7_adEAJUfWd8awloQFiBwUPbI-ZeU-uwbRmE2J4HJPTUIMqGFCItK4UXaXGyvrR9liHRrkJE5Y5NE09bTPJtWqnra4-QOpnKTz70KTPXI4aaHvkYM3stpCS1yg.BK2kAi4rfdG-CXRSuBPs1zRVT5WnPl8lXCZlpS-z-vs&dib_tag=se&keywords=iphone+15&qid=1733409483&sr=8-6
Amazon,Apple iPhone 15 (128 GB) - Yellow,"62,900",https://www.amazon.in/Apple-iPhone-15-128-GB/dp/B0CHX7NG26/ref=sr_1_7?dib=eyJ2IjoiMSJ9.8-aKrERwPzdGyJWfWOa56O2yDcolF6kjNajUNykMKg-4nrBHk0q7-6xivRGXMniwq10FVdNEIaueU8_mm6BNAcEJxFNluIQneY__A6MK-7OmIzDiP7_adEAJUfWd8awloQFiBwUPbI-ZeU-uwbRmE2J4HJPTUIMqGFCItK4UXaXGyvrR9liHRrkJE5Y5NE09bTPJtWqnra4-QOpnKTz70KTPXI4aaHvkYM3stpCS1yg.BK2kAi4rfdG-CXRSuBPs1zRVT5WnPl8lXCZlpS-z-vs&dib_tag=se&keywords=iphone+15&qid=1733409483&sr=8-7
Amazon,Apple iPhone 15 (256 GB) - Blue,"75,900",https://www.amazon.in/Apple-iPhone-15-256-GB/dp/B0CHX6N27Y/ref=sr_1_8?dib=eyJ2IjoiMSJ9.8-aKrERwPzdGyJWfWOa56O2yDcolF6kjNajUNykMKg-4nrBHk0q7-6xivRGXMniwq10FVdNEIaueU8_mm6BNAcEJxFNluIQneY__A6MK-7OmIzDiP7_adEAJUfWd8awloQFiBwUPbI-ZeU-uwbRmE2J4HJPTUIMqGFCItK4UXaXGyvrR9liHRrkJE5Y5NE09bTPJtWqnra4-QOpnKTz70KTPXI4aaHvkYM3stpCS1yg.BK2kAi4rfdG-CXRSuBPs1zRVT5WnPl8lXCZlpS-z-vs&dib_tag=se&keywords=iphone+15&qid=1733409483&sr=8-8
